Canadian Interest Rates,,
,,
,,
Daily series: 2011-11-04 - 2021-06-30,,
V39079 = Target for the overnight rate,,
,,
Summary,Date,V39079
Low,30/6/2021,0.25
High,3/3/2020,1.75
Average,2011-11-04 - 2021-06-30,0.92
,,
Date,V39079,
30/6/2021,0.25,
29/6/2021,0.25,
28/6/2021,0.25,
25/6/2021,0.25,
24/6/2021,0.25,
23/6/2021,0.25,
22/6/2021,0.25,
21/6/2021,0.25,
18/6/2021,0.25,
17/6/2021,0.25,
16/6/2021,0.25,
15/6/2021,0.25,
14/6/2021,0.25,
11/6/2021,0.25,
10/6/2021,0.25,
9/6/2021,0.25,
8/6/2021,0.25,
7/6/2021,0.25,
4/6/2021,0.25,
3/6/2021,0.25,
2/6/2021,0.25,
1/6/2021,0.25,
31/5/2021,0.25,
28/5/2021,0.25,
27/5/2021,0.25,
26/5/2021,0.25,
25/5/2021,0.25,
24/5/2021,0.25,
21/5/2021,0.25,
20/5/2021,0.25,
19/5/2021,0.25,
18/5/2021,0.25,
17/5/2021,0.25,
14/5/2021,0.25,
13/5/2021,0.25,
12/5/2021,0.25,
11/5/2021,0.25,
10/5/2021,0.25,
7/5/2021,0.25,
6/5/2021,0.25,
5/5/2021,0.25,
4/5/2021,0.25,
3/5/2021,0.25,
30/4/2021,0.25,
29/4/2021,0.25,
28/4/2021,0.25,
27/4/2021,0.25,
26/4/2021,0.25,
23/4/2021,0.25,
22/4/2021,0.25,
21/4/2021,0.25,
20/4/2021,0.25,
19/4/2021,0.25,
16/4/2021,0.25,
15/4/2021,0.25,
14/4/2021,0.25,
13/4/2021,0.25,
12/4/2021,0.25,
9/4/2021,0.25,
8/4/2021,0.25,
7/4/2021,0.25,
6/4/2021,0.25,
5/4/2021,0.25,
2/4/2021,0.25,
1/4/2021,0.25,
31/3/2021,0.25,
30/3/2021,0.25,
29/3/2021,0.25,
26/3/2021,0.25,
25/3/2021,0.25,
24/3/2021,0.25,
23/3/2021,0.25,
22/3/2021,0.25,
19/3/2021,0.25,
18/3/2021,0.25,
17/3/2021,0.25,
16/3/2021,0.25,
15/3/2021,0.25,
12/3/2021,0.25,
11/3/2021,0.25,
10/3/2021,0.25,
9/3/2021,0.25,
8/3/2021,0.25,
5/3/2021,0.25,
4/3/2021,0.25,
3/3/2021,0.25,
2/3/2021,0.25,
1/3/2021,0.25,
26/2/2021,0.25,
25/2/2021,0.25,
24/2/2021,0.25,
23/2/2021,0.25,
22/2/2021,0.25,
19/2/2021,0.25,
18/2/2021,0.25,
17/2/2021,0.25,
16/2/2021,0.25,
15/2/2021,0.25,
12/2/2021,0.25,
11/2/2021,0.25,
10/2/2021,0.25,
9/2/2021,0.25,
8/2/2021,0.25,
5/2/2021,0.25,
4/2/2021,0.25,
3/2/2021,0.25,
2/2/2021,0.25,
1/2/2021,0.25,
29/1/2021,0.25,
28/1/2021,0.25,
27/1/2021,0.25,
26/1/2021,0.25,
25/1/2021,0.25,
22/1/2021,0.25,
21/1/2021,0.25,
20/1/2021,0.25,
19/1/2021,0.25,
18/1/2021,0.25,
15/1/2021,0.25,
14/1/2021,0.25,
13/1/2021,0.25,
12/1/2021,0.25,
11/1/2021,0.25,
8/1/2021,0.25,
7/1/2021,0.25,
6/1/2021,0.25,
5/1/2021,0.25,
4/1/2021,0.25,
1/1/2021,0.25,
31/12/2020,0.25,
30/12/2020,0.25,
29/12/2020,0.25,
28/12/2020, Bank holiday,
25/12/2020,0.25,
24/12/2020,0.25,
23/12/2020,0.25,
22/12/2020,0.25,
21/12/2020,0.25,
18/12/2020,0.25,
17/12/2020,0.25,
16/12/2020,0.25,
15/12/2020,0.25,
14/12/2020,0.25,
11/12/2020,0.25,
10/12/2020,0.25,
