"Population estimates, quarterly 1 2 3 4"
"Frequency: "
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2021-09-29"
"Geography: Canada, Province or territory"
""
""

"Geography","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","33,050,613","33,127,520","33,247,118","33,372,418","33,427,050","33,511,275","33,628,895","33,757,077","33,807,529","33,889,236","34,004,889","34,131,683","34,166,099","34,230,378","34,339,328","34,457,998","34,516,352","34,592,779","34,714,222","34,836,008","34,883,119","34,958,216","35,082,954","35,211,866","35,249,639","35,323,533","35,437,435","35,559,047","35,575,187","35,611,271","35,702,908","35,822,894","35,871,136","35,970,303","36,109,487","36,258,726","36,314,099","36,398,013","36,545,236","36,721,223","36,798,408","36,898,431","37,065,084","37,250,385","37,325,235","37,422,946","37,601,230","37,811,399","37,908,599","38,000,056","38,037,204","38,033,014","38,068,872","38,153,211"
"Newfoundland and Labrador","511,008","511,253","511,581","513,437","514,223","514,719","516,751","518,985","520,283","521,204","522,009","522,865","523,726","524,239","524,999","525,936","526,215","525,655","526,345","527,180","527,248","527,313","527,114","528,117","528,242","527,498","528,159","528,461","528,361","528,063","528,117","528,696","528,800","529,063","529,426","529,900","529,347","528,544","528,249","528,288","527,544","526,395","525,560","525,729","524,803","524,131","523,427","523,847","523,287","522,465","521,364","520,194","519,664","519,693"
"Prince Edward Island","138,000","138,186","138,749","139,465","139,136","139,206","139,891","140,611","140,612","140,990","141,654","142,732","143,020","143,265","143,963","144,378","144,310","144,472","144,530","144,520","144,175","143,948","144,094","144,103","143,996","143,984","144,283","144,538","144,368","144,259","144,546","144,894","145,202","145,784","146,969","147,936","148,181","148,860","150,402","151,376","151,516","152,039","153,396","155,152","155,254","155,916","157,419","158,778","159,387","160,417","161,329","161,402","161,514","162,596"
"Nova Scotia","935,475","935,635","935,897","937,045","937,382","937,429","938,208","940,501","940,823","940,919","942,107","944,179","944,068","943,918","944,274","945,016","944,307","943,746","943,635","943,341","942,598","941,230","940,434","940,105","939,867","938,913","938,545","938,972","938,296","936,271","936,525","938,320","938,690","940,382","942,790","946,030","945,943","947,384","950,108","953,683","953,838","954,618","958,406","963,447","964,073","965,553","970,243","976,495","977,519","979,175","981,889","981,552","982,012","985,776"
"New Brunswick","746,288","746,533","746,877","747,769","748,373","749,161","749,956","751,066","751,281","752,021","753,035","754,287","754,794","754,841","755,705","756,420","757,278","757,270","758,378","758,673","758,298","758,132","758,544","758,670","759,018","758,876","758,976","759,524","759,617","758,948","758,842","759,778","760,580","762,289","763,350","764,844","764,617","764,813","766,621","767,935","768,005","768,522","770,301","772,597","772,828","774,035","777,128","780,631","780,707","782,199","783,204","783,257","784,156","785,819"
"Quebec","7,725,513","7,740,347","7,761,725","7,786,475","7,799,115","7,817,022","7,843,383","7,871,361","7,885,717","7,903,339","7,929,222","7,955,007","7,967,185","7,982,119","8,005,090","8,021,860","8,029,498","8,039,492","8,061,101","8,078,388","8,082,771","8,090,916","8,110,880","8,124,660","8,125,478","8,132,425","8,150,183","8,165,447","8,163,132","8,163,063","8,175,272","8,190,014","8,193,624","8,204,085","8,225,950","8,249,692","8,257,450","8,272,894","8,302,063","8,336,460","8,350,601","8,367,551","8,401,738","8,434,705","8,447,803","8,466,531","8,503,483","8,542,198","8,558,033","8,574,270","8,578,300","8,579,476","8,579,370","8,587,179"
"Ontario","12,814,446","12,840,272","12,883,583","12,927,148","12,932,234","12,956,332","12,998,345","13,047,485","13,058,435","13,088,106","13,135,778","13,189,339","13,198,650","13,221,999","13,261,381","13,308,659","13,323,332","13,348,263","13,390,632","13,434,943","13,444,704","13,467,829","13,510,781","13,558,528","13,562,583","13,582,747","13,617,553","13,661,314","13,657,737","13,669,860","13,707,118","13,757,688","13,773,629","13,816,545","13,875,394","13,946,431","13,971,785","14,006,386","14,070,141","14,150,783","14,186,830","14,235,643","14,308,697","14,392,903","14,426,822","14,467,552","14,544,701","14,638,247","14,688,726","14,729,324","14,745,712","14,740,704","14,759,431","14,795,883"
"Manitoba","1,193,408","1,194,662","1,197,775","1,199,548","1,201,702","1,204,014","1,208,556","1,211,875","1,213,933","1,216,610","1,220,780","1,224,662","1,227,212","1,229,063","1,233,649","1,238,019","1,242,141","1,245,692","1,249,975","1,254,178","1,257,940","1,260,834","1,264,620","1,268,428","1,271,562","1,274,407","1,279,014","1,283,366","1,286,453","1,288,094","1,292,227","1,297,329","1,302,544","1,307,689","1,314,139","1,319,911","1,324,129","1,328,412","1,334,790","1,340,565","1,344,418","1,347,055","1,352,825","1,357,968","1,361,820","1,364,667","1,369,954","1,374,081","1,377,578","1,379,735","1,380,648","1,380,447","1,381,459","1,383,638"
"Saskatchewan","1,010,304","1,013,478","1,017,404","1,022,553","1,025,993","1,029,901","1,034,819","1,039,554","1,042,952","1,046,799","1,051,443","1,056,115","1,058,963","1,061,484","1,066,026","1,070,687","1,074,265","1,077,892","1,083,755","1,088,959","1,091,547","1,094,390","1,099,736","1,103,730","1,106,374","1,109,631","1,112,979","1,116,203","1,118,181","1,118,806","1,120,967","1,124,919","1,127,773","1,131,147","1,135,987","1,140,690","1,143,313","1,146,218","1,150,331","1,154,755","1,156,659","1,158,451","1,161,767","1,165,929","1,168,447","1,169,397","1,172,479","1,176,427","1,179,355","1,179,939","1,179,300","1,178,164","1,178,971","1,180,314"
