"Toronto Stock Exchange statistics 1 2"
"Frequency: "
"Table: 10-10-0125-01 (formerly CANSIM 176-0047)"
"Release date: 2021-11-01"
"Geography: Canada"
""
""

,"Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toronto Stock Exchange Statistics","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021"
,"Index, 2000=1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard and Poor's/Toronto Stock Exchange Composite Index, high","14,037.67","13,891.78","13,667.60","14,372.31","15,128.56","15,154.77","14,584.85","13,771.25","13,771.25","11,775.76","10,116.60","9,270.62","9,505.72","9,151.58","9,018.50","9,568.32","10,493.12","10,726.01","10,841.54","11,065.40","11,648.55","11,595.04","11,737.84","11,816.33","12,070.74","11,763.31","12,129.26","12,231.76","12,294.63","12,077.01","11,822.68","11,990.76","12,406.36","12,710.19","13,114.05","13,493.64","13,559.20","14,136.50","14,252.77","14,270.53","14,089.10","13,823.43","13,516.17","12,996.10","12,798.53","12,541.84","12,542.58","12,268.91","12,615.99","12,788.63","12,731.49","12,526.55","12,364.59","11,824.61","11,936.16","12,196.77","12,529.77","12,494.00","12,511.46","12,457.33","12,895.28","12,832.71","12,904.71","12,751.60","12,889.26","12,681.22","12,772.06","12,812.58","12,964.86","13,471.06","13,517.02","13,644.28","14,002.39","14,280.85","14,406.86","14,662.01","14,765.15","15,146.01","15,527.30","15,653.38","15,685.13","14,958.50","15,184.36","14,789.02","14,853.30","15,349.01","15,258.04","15,483.12","15,416.56","15,182.22","14,748.00","14,622.35","13,876.00","14,053.19","13,790.07","13,653.70","12,954.89","12,984.72","13,685.45","13,972.62","14,172.35","14,450.91","14,609.02","14,855.69","14,841.36","14,963.60","15,141.02","15,432.61","15,643.84","15,922.37","15,657.63","15,745.19","15,652.08","15,473.21","15,264.64","15,265.63","15,634.94","16,025.59","16,131.79","16,221.95","16,412.94","15,860.92","15,711.33","15,668.93","16,162.31","16,450.14","16,567.42","16,444.39","16,224.13","16,104.43","15,369.43","15,274.98","15,540.60","16,074.30","16,251.37","16,669.40","16,502.75","16,574.83","16,611.84","16,442.07","16,899.69","16,501.43","17,114.52","17,180.15","17,621.78","17,944.06","16,779.53","15,228.11","15,272.03","15,974.91","16,299.29","16,789.97","16,697.97","16,562.81","17,396.56","17,652.94","18,042.07","18,492.72","18,983.10","19,356.95","19,852.18","20,231.32"
"Standard and Poor's/Toronto Stock Exchange Composite Index, low","12,011.68","12,747.61","12,453.90","13,254.04","13,846.57","14,156.52","13,157.88","13,015.88","11,171.32","8,537.34","7,724.76","7,802.32","8,387.56","7,566.32","7,501.12","8,617.28","9,324.83","9,727.26","9,588.44","10,480.18","10,634.83","10,767.58","10,745.25","11,248.92","11,084.27","10,990.41","11,629.63","11,953.95","11,179.97","11,244.03","11,065.53","11,469.25","11,914.23","12,262.69","12,501.82","12,952.88","13,245.12","13,680.29","13,524.82","13,584.55","13,264.80","12,763.54","12,858.39","11,617.81","11,293.63","10,848.19","11,420.78","11,468.70","11,955.94","12,291.76","12,194.53","11,868.97","11,256.72","11,209.55","11,366.74","11,475.43","11,904.48","12,137.18","11,761.34","12,095.45","12,430.41","12,602.54","12,622.50","11,916.64","12,275.98","11,759.04","12,055.63","12,400.15","12,654.31","12,678.02","13,285.23","13,059.74","13,473.23","13,450.31","14,139.29","14,221.39","14,473.78","14,604.19","15,021.05","15,056.11","14,821.71","13,646.79","14,327.02","13,635.53","13,892.57","14,713.87","14,606.19","14,878.53","14,934.30","14,482.16","13,938.90","12,705.17","12,964.12","13,086.39","13,030.46","12,617.66","11,531.22","11,985.68","12,857.97","13,217.17","13,535.54","13,609.58","14,080.24","14,428.23","14,319.11","14,468.03","14,481.59","15,000.60","15,385.96","15,399.11","15,313.13","15,506.47","15,273.68","15,148.53","15,027.16","14,951.88","14,985.32","15,705.00","15,878.48","15,908.78","15,951.67","15,034.53","15,169.94","15,164.37","15,618.93","16,043.54","16,263.16","16,148.50","16,001.71","14,721.75","14,877.00","13,780.19","14,212.75","15,506.31","15,996.21","16,228.06","16,037.49","16,015.89","16,406.56","16,012.53","16,399.23","16,293.95","16,594.07","16,854.92","17,066.12","16,263.05","11,228.49","12,876.37","14,503.21","15,050.92","15,568.64","16,368.03","15,817.11","15,580.64","15,696.87","17,296.93","17,337.02","17,692.45","18,125.72","18,990.32","19,107.77","19,941.39"
"Standard and Poor's/Toronto Stock Exchange Composite Index, close","13,155.10","13,582.69","13,350.13","13,937.04","14,714.73","14,467.03","13,592.91","13,771.25","11,752.90","9,762.76","9,270.62","8,987.70","8,694.90","8,123.02","8,720.39","9,324.83","10,370.07","10,374.91","10,787.15","10,868.21","11,394.96","10,910.75","11,447.20","11,746.11","11,094.31","11,629.63","12,037.73","12,210.70","11,762.99","11,294.42","11,713.43","11,913.86","12,368.65","12,676.24","12,952.88","13,443.22","13,551.99","14,136.50","14,116.10","13,944.79","13,802.88","13,300.87","12,945.63","12,768.70","11,623.84","12,252.06","12,204.11","11,955.09","12,452.15","12,644.01","12,392.18","12,292.69","11,513.21","11,596.56","11,664.71","11,949.26","12,317.46","12,422.91","12,239.36","12,433.53","12,685.24","12,821.83","12,749.90","12,456.50","12,650.42","12,129.11","12,486.64","12,653.90","12,787.20","13,361.26","13,395.40","13,621.55","13,694.94","14,209.59","14,335.31","14,651.87","14,604.16","15,146.01","15,330.74","15,625.73","14,960.51","14,613.32","14,744.70","14,632.44","14,673.48","15,234.34","14,902.44","15,224.52","15,014.09","14,553.33","14,468.44","13,859.12","13,306.96","13,529.17","13,469.83","13,009.95","12,822.13","12,860.35","13,494.36","13,951.45","14,065.78","14,064.54","14,582.74","14,597.95","14,725.86","14,787.27","15,082.85","15,287.59","15,385.96","15,399.24","15,547.75","15,586.13","15,349.91","15,182.19","15,143.87","15,211.87","15,634.94","16,025.59","16,067.48","16,209.13","15,951.67","15,442.68","15,367.29","15,607.88","16,061.50","16,277.73","16,434.01","16,262.88","16,073.14","15,027.28","15,197.82","14,322.86","15,540.60","15,999.01","16,102.09","16,580.73","16,037.49","16,382.20","16,406.56","16,442.07","16,658.63","16,483.16","17,040.20","17,063.43","17,318.49","16,263.05","13,378.75","14,780.74","15,192.83","15,515.22","16,169.20","16,514.44","16,121.38","15,580.64","17,190.25","17,433.36","17,337.02","18,060.26","18,700.67","19,108.33","19,730.99","20,165.58"
,"Index",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard and Poor's/Toronto Stock Exchange 60 Index","772.56","795.23","783.44","825.91","878.42","863.19","811.73","821.69","707.34","591.28","563.09","541.82","523.28","489.56","528.68","565.38","632.47","630.06","654.56","652.78","680.75","647.72","680.26","693.23","648.53","680.76","706.81","716.05","691.63","662.05","685.03","694.05","715.07","728.09","741.34","768.65","778.65","813.29","810.86","797.90","789.12","763.90","733.30","728.20","667.08","698.04","695.49","680.87","709.18","718.86","706.96","699.79","656.50","663.62","665.46","683.47","702.87","711.58","702.59","713.72","727.76","738.55","731.34","710.71","726.27","695.52","714.68","727.13","732.89","767.47","771.86","783.75","785.53","813.25","820.51","837.58","836.60","866.04","884.33","898.26","864.24","849.50","863.04","854.85","857.34","890.40","869.28","886.56","875.04","847.78","853.40","815.45","784.51","794.49","791.80","764.54","754.85","755.27","790.93","815.46","821.06","817.65","847.40","851.38","858.47","868.38","888.30","900.05","909.19","907.57","915.58","918.90","906.38","892.65","891.19","892.56","921.79","947.17","952.04","959.69","944.41","913.90","908.99","921.43","950.45","965.32","979.38","965.73","952.28","895.08","913.29","859.32","929.25","953.91","959.50","994.53","961.89","979.60","979.73","982.45","997.93","986.33","1,018.62","1,014.92","1,032.97","972.15","819.89","891.63","917.17","934.21","968.67","990.52","967.27","928.90","1,023.52","1,034.76","1,026.60","1,073.42","1,117.15","1,138.85","1,180.14","1,209.15"
"Standard and Poor's/Toronto Stock Exchange Canadian Consumer Discretionary Index","104.95","99.40","100.09","98.79","97.27","88.63","87.34","94.24","84.59","76.96","72.81","73.52","67.87","65.14","67.22","70.08","70.00","73.77","75.20","76.97","77.67","75.37","77.58","81.72","81.41","83.57","86.17","87.98","89.09","87.00","90.22","90.82","93.85","96.48","97.03","99.63","102.02","97.71","97.18","97.53","97.16","97.29","90.91","84.26","82.00","83.78","83.31","81.80","84.47","89.13","92.56","93.89","90.82","91.26","91.00","91.85","92.53","93.71","93.44","97.07","101.06","103.27","108.51","108.88","113.68","117.16","121.48","122.20","126.14","132.59","132.15","135.44","134.91","136.75","140.46","143.04","144.16","146.04","148.16","157.32","150.96","157.39","167.48","171.22","171.16","182.86","180.76","174.64","183.21","182.78","187.99","174.76","175.32","180.75","175.22","165.26","154.53","159.50","169.26","166.11","171.50","163.47","172.36","175.10","177.02","172.86","175.91","178.81","177.65","184.01","190.38","197.71","199.38","198.54","192.92","196.05","206.84","213.44","216.69","215.27","214.27","207.30","207.95","210.11","219.18","220.46","219.66","211.60","201.88","188.89","193.95","177.07","195.85","196.29","193.49","207.05","189.10","201.50","208.45","208.69","206.19","197.73","208.47","201.07","196.01","181.51","134.17","161.04","175.10","177.86","185.32","190.05","192.42","192.66","221.08","233.15","227.01","246.71","261.63","274.89","271.98","272.45"
"Standard and Poor's/Toronto Stock Exchange Canadian Consumer Staples Index","169.35","162.87","168.74","165.98","172.86","169.03","160.27","168.32","161.20","158.44","155.43","167.90","166.10","160.01","157.30","158.70","163.88","170.50","163.77","168.38","166.75","163.74","174.89","180.21","175.35","179.42","179.90","170.87","170.34","163.63","176.82","184.01","187.89","196.11","191.40","196.29","195.23","200.18","200.62","202.48","209.81","203.86","203.50","198.17","200.91","203.88","202.60","205.77","205.43","202.79","219.73","227.69","219.22","222.06","226.21","231.12","227.75","233.00","234.56","247.65","245.32","257.44","260.42","272.86","273.85","282.25","301.83","288.78","290.18","305.04","299.65","300.57","305.48","315.31","321.34","330.18","320.65","329.31","349.81","357.04","367.96","384.48","408.14","439.15","452.43","456.29","452.26","440.07","446.21","448.78","480.88","470.84","479.58","474.62","484.42","483.04","493.07","514.47","524.38","494.89","517.80","501.80","527.43","548.45","527.90","534.35","520.97","519.78","512.64","509.34","533.95","562.60","559.62","540.14","523.74","525.82","526.89","536.10","552.89","551.99","541.51","526.87","522.27","516.89","527.55","542.08","544.36","531.57","527.30","525.04","561.59","555.99","573.44","592.10","606.40","611.48","624.54","610.67","624.91","653.19","654.38","622.12","652.99","619.15","642.35","606.13","573.23","602.94","622.07","619.07","652.52","628.27","672.05","627.88","640.52","632.76","605.98","600.29","659.11","656.15","683.70","688.07"
