"Date","Price","Open","High","Low","Change %"
"Jun 21","1.2394","1.2064","1.2487","1.2004","2.75%"
"May 21","1.2062","1.2289","1.2352","1.2011","-1.85%"
"Apr 21","1.2289","1.2562","1.2653","1.2264","-2.14%"
"Mar 21","1.2558","1.2723","1.2740","1.2363","-1.42%"
"Feb 21","1.2739","1.2777","1.2871","1.2466","-0.30%"
"Jan 21","1.2777","1.2734","1.2882","1.2588","0.37%"
"Dec 20","1.2730","1.3002","1.3008","1.2686","-2.08%"
"Nov 20","1.3000","1.3316","1.3371","1.2921","-2.38%"
"Oct 20","1.3317","1.3321","1.3391","1.3079","-0.02%"
"Sep 20","1.3319","1.3042","1.3421","1.2992","2.10%"
"Aug 20","1.3045","1.3401","1.3452","1.3018","-2.74%"
"Jul 20","1.3413","1.3576","1.3648","1.3329","-1.18%"
"Jun 20","1.3573","1.3782","1.3802","1.3313","-1.42%"
"May 20","1.3769","1.3946","1.4174","1.3712","-1.23%"
"Apr 20","1.3941","1.4060","1.4300","1.3848","-0.84%"
"Mar 20","1.4059","1.3412","1.4669","1.3314","4.95%"
"Feb 20","1.3396","1.3238","1.3466","1.3200","1.22%"
"Jan 20","1.3235","1.2986","1.3254","1.2954","1.92%"
"Dec 19","1.2986","1.3279","1.3322","1.2949","-2.18%"
"Nov 19","1.3275","1.3164","1.3329","1.3110","0.88%"
"Oct 19","1.3159","1.3241","1.3348","1.3039","-0.60%"
"Sep 19","1.3239","1.3313","1.3384","1.3131","-0.53%"
"Aug 19","1.3310","1.3192","1.3346","1.3175","0.92%"
"Jul 19","1.3189","1.3092","1.3215","1.3014","0.76%"
"Jun 19","1.3090","1.3521","1.3529","1.3057","-3.12%"
"May 19","1.3512","1.3388","1.3566","1.3355","0.94%"
"Apr 19","1.3386","1.3354","1.3522","1.3272","0.31%"
"Mar 19","1.3344","1.3172","1.3471","1.3128","1.35%"
"Feb 19","1.3166","1.3123","1.3343","1.3066","0.34%"
"Jan 19","1.3122","1.3636","1.3664","1.3116","-3.78%"
"Dec 18","1.3637","1.3258","1.3666","1.3159","2.59%"
"Nov 18","1.3293","1.3156","1.3361","1.3046","1.07%"
"Oct 18","1.3152","1.2902","1.3172","1.2780","1.92%"
"Sep 18","1.2904","1.3039","1.3228","1.2882","-1.02%"
"Aug 18","1.3037","1.3005","1.3177","1.2885","0.25%"
"Jul 18","1.3005","1.3141","1.3291","1.2983","-0.95%"
"Jun 18","1.3130","1.2957","1.3387","1.2857","1.34%"
"May 18","1.2956","1.2843","1.3048","1.2727","0.92%"
"Apr 18","1.2838","1.2902","1.2945","1.2524","-0.41%"
"Mar 18","1.2891","1.2831","1.3126","1.2802","0.48%"
"Feb 18","1.2830","1.2315","1.2843","1.2254","4.20%"
"Jan 18","1.2313","1.2579","1.2591","1.2248","-2.10%"
"Dec 17","1.2577","1.2897","1.2921","1.2513","-2.46%"
"Nov 17","1.2894","1.2889","1.2911","1.2664","0.08%"
"Oct 17","1.2884","1.2475","1.2917","1.2431","3.34%"
"Sep 17","1.2467","1.2479","1.2529","1.2059","-0.10%"
"Aug 17","1.2480","1.2479","1.2780","1.2440","0.02%"
